Simulated gas cumulative (Surface) (Run 1 - Model output - P01) - 1151 points_Elapsed time Simulated gas cumulative (Surface) (Run 1 - Model output - P01) - 1151 points_Gas volume	
(hr) (scf)                                                                                                                                                                         	
1.58256E+5 5.44350E+8                                                                                                                                                              	
1.59792E+5 5.46722E+8                                                                                                                                                              	
1.61328E+5 5.49076E+8                                                                                                                                                              	
1.62864E+5 5.51412E+8                                                                                                                                                              	
1.64400E+5 5.53731E+8                                                                                                                                                              	
1.65936E+5 5.56034E+8                                                                                                                                                              	
1.67472E+5 5.58319E+8                                                                                                                                                              	
1.69008E+5 5.60588E+8                                                                                                                                                              	
1.70544E+5 5.62840E+8                                                                                                                                                              	
1.72080E+5 5.65076E+8                                                                                                                                                              	
1.73616E+5 5.67296E+8                                                                                                                                                              	
1.75200E+5 5.69569E+8                                                                                                                                                              	
1.76736E+5 5.71757E+8                                                                                                                                                              	
1.78272E+5 5.73929E+8                                                                                                                                                              	
1.79808E+5 5.76086E+8                                                                                                                                                              	
1.81344E+5 5.78227E+8                                                                                                                                                              	
1.82880E+5 5.80354E+8                                                                                                                                                              	
1.84416E+5 5.82466E+8                                                                                                                                                              	
1.85952E+5 5.84563E+8                                                                                                                                                              	
1.87488E+5 5.86645E+8                                                                                                                                                              	
1.89024E+5 5.88713E+8                                                                                                                                                              	
1.90560E+5 5.90767E+8                                                                                                                                                              	
1.92096E+5 5.92807E+8                                                                                                                                                              	
1.93632E+5 5.94832E+8                                                                                                                                                              	
1.95168E+5 5.96844E+8                                                                                                                                                              	
1.96704E+5 5.98842E+8                                                                                                                                                              	
1.98240E+5 6.00827E+8                                                                                                                                                              	
1.99776E+5 6.02798E+8                                                                                                                                                              	
2.01312E+5 6.04756E+8                                                                                                                                                              	
2.02848E+5 6.06701E+8                                                                                                                                                              	
2.04384E+5 6.08633E+8                                                                                                                                                              	
2.05920E+5 6.10552E+8                                                                                                                                                              	
2.07456E+5 6.12458E+8                                                                                                                                                              	
2.08992E+5 6.14352E+8                                                                                                                                                              	
2.10528E+5 6.16233E+8                                                                                                                                                              	
2.12064E+5 6.18102E+8                                                                                                                                                              	
2.13600E+5 6.19959E+8                                                                                                                                                              	
2.15136E+5 6.21803E+8                                                                                                                                                              	
2.16672E+5 6.23636E+8                                                                                                                                                              	
2.18208E+5 6.25456E+8                                                                                                                                                              	
2.19744E+5 6.27265E+8                                                                                                                                                              	
2.21280E+5 6.29062E+8                                                                                                                                                              	
2.22816E+5 6.30848E+8                                                                                                                                                              	
2.24352E+5 6.32622E+8                                                                                                                                                              	
2.25888E+5 6.34385E+8                                                                                                                                                              	
2.27424E+5 6.36137E+8                                                                                                                                                              	
2.28960E+5 6.37878E+8                                                                                                                                                              	
2.30496E+5 6.39608E+8                                                                                                                                                              	
2.32032E+5 6.41326E+8                                                                                                                                                              	
2.33568E+5 6.43034E+8                                                                                                                                                              	
2.35104E+5 6.44732E+8                                                                                                                                                              	
2.36640E+5 6.46418E+8                                                                                                                                                              	
2.38176E+5 6.48095E+8                                                                                                                                                              	
2.39712E+5 6.49760E+8                                                                                                                                                              	
2.41248E+5 6.51416E+8                                                                                                                                                              	
2.42784E+5 6.53061E+8                                                                                                                                                              	
2.44320E+5 6.54696E+8                                                                                                                                                              	
2.45856E+5 6.56322E+8                                                                                                                                                              	
2.47392E+5 6.57937E+8                                                                                                                                                              	
2.48928E+5 6.59542E+8                                                                                                                                                              	
2.50464E+5 6.61138E+8                                                                                                                                                              	
2.52000E+5 6.62724E+8                                                                                                                                                              	
2.53536E+5 6.64301E+8                                                                                                                                                              	
2.55072E+5 6.65867E+8                                                                                                                                                              	
2.56608E+5 6.67425E+8                                                                                                                                                              	
2.58144E+5 6.68973E+8                                                                                                                                                              	
2.59680E+5 6.70512E+8                                                                                                                                                              	
2.61216E+5 6.72042E+8                                                                                                                                                              	
2.62800E+5 6.73610E+8                                                                                                                                                              	
2.64336E+5 6.75121E+8                                                                                                                                                              	
2.65872E+5 6.76624E+8                                                                                                                                                              	
2.67408E+5 6.78118E+8                                                                                                                                                              	
2.68944E+5 6.79602E+8                                                                                                                                                              	
2.70480E+5 6.81079E+8                                                                                                                                                              	
2.72016E+5 6.82546E+8                                                                                                                                                              	
2.73552E+5 6.84005E+8                                                                                                                                                              	
2.75088E+5 6.85456E+8                                                                                                                                                              	
2.76624E+5 6.86898E+8                                                                                                                                                              	
2.78160E+5 6.88332E+8                                                                                                                                                              	
2.79696E+5 6.89758E+8                                                                                                                                                              	
2.81232E+5 6.91175E+8                                                                                                                                                              	
2.82768E+5 6.92584E+8                                                                                                                                                              	
2.84304E+5 6.93985E+8                                                                                                                                                              	
2.85840E+5 6.95379E+8                                                                                                                                                              	
2.87376E+5 6.96764E+8                                                                                                                                                              	
2.88912E+5 6.98141E+8                                                                                                                                                              	
2.90448E+5 6.99511E+8                                                                                                                                                              	
2.91984E+5 7.00873E+8                                                                                                                                                              	
2.93520E+5 7.02227E+8                                                                                                                                                              	
2.95056E+5 7.03574E+8                                                                                                                                                              	
2.96592E+5 7.04913E+8                                                                                                                                                              	
2.98128E+5 7.06245E+8                                                                                                                                                              	
2.99664E+5 7.07569E+8                                                                                                                                                              	
3.01200E+5 7.08886E+8                                                                                                                                                              	
3.02736E+5 7.10196E+8                                                                                                                                                              	
3.04272E+5 7.11498E+8                                                                                                                                                              	
3.05808E+5 7.12793E+8                                                                                                                                                              	
3.07344E+5 7.14081E+8                                                                                                                                                              	
3.08880E+5 7.15362E+8                                                                                                                                                              	
3.10416E+5 7.16636E+8                                                                                                                                                              	
3.11952E+5 7.17903E+8                                                                                                                                                              	
3.13488E+5 7.19163E+8                                                                                                                                                              	
3.15024E+5 7.20417E+8                                                                                                                                                              	
3.16560E+5 7.21663E+8                                                                                                                                                              	
3.18096E+5 7.22903E+8                                                                                                                                                              	
3.19632E+5 7.24136E+8                                                                                                                                                              	
3.21168E+5 7.25362E+8                                                                                                                                                              	
3.22704E+5 7.26582E+8                                                                                                                                                              	
3.24240E+5 7.27795E+8                                                                                                                                                              	
3.25776E+5 7.29002E+8                                                                                                                                                              	
3.27312E+5 7.30203E+8                                                                                                                                                              	
3.28848E+5 7.31397E+8                                                                                                                                                              	
3.30384E+5 7.32584E+8                                                                                                                                                              	
3.31920E+5 7.33766E+8                                                                                                                                                              	
3.33456E+5 7.34941E+8                                                                                                                                                              	
3.34992E+5 7.36110E+8                                                                                                                                                              	
3.36528E+5 7.37273E+8                                                                                                                                                              	
3.38064E+5 7.38429E+8                                                                                                                                                              	
3.39600E+5 7.39580E+8                                                                                                                                                              	
3.41136E+5 7.40725E+8                                                                                                                                                              	
3.42672E+5 7.41863E+8                                                                                                                                                              	
3.44208E+5 7.42996E+8                                                                                                                                                              	
3.45744E+5 7.44123E+8                                                                                                                                                              	
3.47280E+5 7.45244E+8                                                                                                                                                              	
3.48816E+5 7.46360E+8                                                                                                                                                              	
3.50400E+5 7.47504E+8                                                                                                                                                              	
3.51936E+5 7.48607E+8                                                                                                                                                              	
3.53472E+5 7.49705E+8                                                                                                                                                              	
3.55008E+5 7.50798E+8                                                                                                                                                              	
3.56544E+5 7.51884E+8                                                                                                                                                              	
3.58080E+5 7.52966E+8                                                                                                                                                              	
3.59616E+5 7.54042E+8                                                                                                                                                              	
3.61152E+5 7.55112E+8                                                                                                                                                              	
3.62688E+5 7.56177E+8                                                                                                                                                              	
