Pressure Z µg cg
1194.70 0.916418 0.0150826 8.92172E-4
1204.70 0.915915 0.0151025 8.84811E-4
1214.70 0.915416 0.0151225 8.77562E-4
1224.70 0.914921 0.0151426 8.70422E-4
1234.70 0.91443 0.0151629 8.63388E-4
1244.70 0.913944 0.0151832 8.56458E-4
1254.70 0.913461 0.0152036 8.49630E-4
1264.70 0.912983 0.0152241 8.42900E-4
1274.70 0.912508 0.0152447 8.36266E-4
1284.70 0.912038 0.0152655 8.29727E-4
1294.70 0.911572 0.0152863 8.23279E-4
1304.70 0.911111 0.0153072 8.16922E-4
1314.70 0.910653 0.0153282 8.10652E-4
1324.70 0.9102 0.0153494 8.04467E-4
1334.70 0.909751 0.0153706 7.98367E-4
1344.70 0.909306 0.0153919 7.92348E-4
1354.70 0.908866 0.0154134 7.86409E-4
1364.70 0.90843 0.0154349 7.80548E-4
1374.70 0.907998 0.0154565 7.74764E-4
1384.70 0.90757 0.0154782 7.69055E-4
1394.70 0.907147 0.0155001 7.63419E-4
1404.70 0.906729 0.015522 7.57854E-4
1414.70 0.906314 0.015544 7.52359E-4
1424.70 0.905904 0.0155661 7.46933E-4
1434.70 0.905498 0.0155884 7.41574E-4
1444.70 0.905097 0.0156107 7.36281E-4
1454.70 0.9047 0.0156331 7.31052E-4
1464.70 0.904308 0.0156556 7.25886E-4
1474.70 0.90392 0.0156782 7.20782E-4
1484.70 0.903537 0.0157009 7.15738E-4
1494.70 0.903158 0.0157237 7.10753E-4
1504.70 0.902783 0.0157466 7.05827E-4
1514.70 0.902413 0.0157696 7.00957E-4
1524.70 0.902048 0.0157927 6.96143E-4
1534.70 0.901687 0.0158158 6.90227E-4
1544.70 0.90133 0.0158391 6.86823E-4
1554.70 0.900978 0.0158625 6.82025E-4
1564.70 0.900631 0.0158859 6.77423E-4
1574.70 0.900288 0.0159095 6.72872E-4
1584.70 0.89995 0.0159331 6.68371E-4
1594.70 0.899616 0.0159569 6.63918E-4
1604.70 0.899287 0.0159807 6.59513E-4
1614.70 0.898962 0.0160046 6.55155E-4
1624.70 0.898642 0.0160287 6.50844E-4
1634.70 0.898327 0.0160528 6.46577E-4
1644.70 0.898016 0.016077 6.42355E-4
1654.70 0.89771 0.0161013 6.38176E-4
1664.70 0.897409 0.0161256 6.34040E-4
1674.70 0.897112 0.0161501 6.29946E-4
1684.70 0.89682 0.0161747 6.25894E-4
1694.70 0.896532 0.0161993 6.21882E-4
1704.70 0.896249 0.0162241 6.17910E-4
1714.70 0.895971 0.0162489 6.13977E-4
1724.70 0.895698 0.0162738 6.10083E-4
1734.70 0.895429 0.0162988 6.06227E-4
1744.70 0.895164 0.0163239 6.02409E-4
1754.70 0.894905 0.0163491 5.98626E-4
1764.70 0.89465 0.0163743 5.94880E-4
1774.70 0.8944 0.0163997 5.91170E-4
1784.70 0.894155 0.0164251 5.87494E-4
1794.70 0.893914 0.0164506 5.83853E-4
1804.70 0.893678 0.0164762 5.80246E-4
1814.70 0.893447 0.0165019 5.76671E-4
1824.70 0.89322 0.0165277 5.73130E-4
1834.70 0.892998 0.0165536 5.69621E-4
1844.70 0.892781 0.0165795 5.66144E-4
1854.70 0.892568 0.0166055 5.62698E-4
1864.70 0.892361 0.0166316 5.59282E-4
1874.70 0.892158 0.0166578 5.55897E-4
1884.70 0.891959 0.0166841 5.52542E-4
1894.70 0.891766 0.0167104 5.49217E-4
1904.70 0.891577 0.0167369 5.45920E-4
1914.70 0.891393 0.0167634 5.42652E-4
1924.70 0.891213 0.01679 5.39413E-4
1934.70 0.891039 0.0168167 5.36201E-4
1944.70 0.890869 0.0168434 5.33016E-4
1954.70 0.890703 0.0168702 5.29859E-4
1964.70 0.890543 0.0168971 5.26728E-4
1974.70 0.890387 0.0169241 5.23623E-4
1984.70 0.890236 0.0169512 5.20544E-4
1994.70 0.89009 0.0169783 5.17491E-4
2004.70 0.889948 0.0170055 5.14463E-4
2014.70 0.889811 0.0170328 5.11460E-4
2024.70 0.889679 0.0170602 5.08481E-4
2034.70 0.889551 0.0170876 5.05527E-4
2044.70 0.889429 0.0171151 5.02597E-4
2054.70 0.88931 0.0171427 4.99690E-4
2064.70 0.889197 0.0171704 4.96806E-4
2074.70 0.889088 0.0171981 4.93946E-4
2084.70 0.888984 0.0172259 4.91108E-4
2094.70 0.888885 0.0172538 4.88292E-4
2104.70 0.88879 0.0172817 4.85499E-4
2114.70 0.8887 0.0173097 4.82728E-4
2124.70 0.888615 0.0173378 4.79978E-4
2134.70 0.888534 0.017366 4.77250E-4
2144.70 0.888458 0.0173942 4.74542E-4
2154.70 0.888386 0.0174225 4.71856E-4
2164.70 0.88832 0.0174508 4.69190E-4
2174.70 0.888258 0.0174793 4.66545E-4
2184.70 0.8882 0.0175078 4.63919E-4
2194.70 0.888147 0.0175363 4.61314E-4
2204.70 0.888099 0.017565 4.58728E-4
2214.70 0.888055 0.0175936 4.56162E-4
2224.70 0.888016 0.0176224 4.53614E-4
2234.70 0.887982 0.0176512 4.51086E-4
2244.70 0.887952 0.0176801 4.48577E-4
2254.70 0.887927 0.0177091 4.46086E-4
2264.70 0.887906 0.0177381 4.43614E-4
2274.70 0.88789 0.0177671 4.41160E-4
2284.70 0.887878 0.0177963 4.38724E-4
2294.70 0.887871 0.0178255 4.36306E-4
2304.70 0.887868 0.0178547 4.33905E-4
2314.70 0.88787 0.0178841 4.31522E-4
2324.70 0.887877 0.0179134 4.29156E-4
2334.70 0.887888 0.0179429 4.26807E-4
2344.70 0.887903 0.0179724 4.24475E-4
2354.70 0.887923 0.0180019 4.22160E-4
2364.70 0.887948 0.0180315 4.19861E-4
2374.70 0.887977 0.0180612 4.17579E-4
2384.70 0.88801 0.0180909 4.15313E-4
2394.70 0.888048 0.0181207 4.13063E-4
2404.70 0.88809 0.0181505 4.10829E-4
2414.70 0.888136 0.0181804 4.08610E-4
2424.70 0.888187 0.0182104 4.06408E-4
2434.70 0.888243 0.0182404 4.04221E-4
2444.70 0.888302 0.0182704 4.02049E-4
2454.70 0.888367 0.0183005 3.99892E-4
2464.70 0.888435 0.0183307 3.97751E-4
2474.70 0.888508 0.0183609 3.95624E-4
2484.70 0.888585 0.0183911 3.93512E-4
2494.70 0.888666 0.0184215 3.91415E-4
2504.70 0.888752 0.0184518 3.89332E-4
2514.70 0.888842 0.0184822 3.87263E-4
2524.70 0.888937 0.0185127 3.85209E-4
2534.70 0.889035 0.0185432 3.83169E-4
2544.70 0.889138 0.0185738 3.81143E-4
2554.70 0.889245 0.0186044 3.79130E-4
2564.70 0.889356 0.018635 3.77132E-4
2574.70 0.889472 0.0186657 3.75147E-4
2584.70 0.889592 0.0186965 3.73175E-4
2594.70 0.889715 0.0187272 3.71217E-4
2604.70 0.889843 0.0187581 3.69272E-4
2614.70 0.889976 0.018789 3.67340E-4
2624.70 0.890112 0.0188199 3.65422E-4
2634.70 0.890252 0.0188508 3.63516E-4
2644.70 0.890397 0.0188818 3.61623E-4
2654.70 0.890545 0.0189129 3.59743E-4
2664.70 0.890698 0.018944 3.57875E-4
2674.70 0.890855 0.0189751 3.56020E-4
2684.70 0.891016 0.0190063 3.54177E-4
2694.70 0.891181 0.0190375 3.52347E-4
2704.70 0.89135 0.0190688 3.50528E-4
2714.70 0.891522 0.0191001 3.48722E-4
2724.70 0.891699 0.0191314 3.46928E-4
2734.70 0.89188 0.0191628 3.45146E-4
2744.70 0.892065 0.0191942 3.43375E-4
2754.70 0.892254 0.0192256 3.41616E-4
2764.70 0.892446 0.0192571 3.39869E-4
2774.70 0.892643 0.0192886 3.38134E-4
2784.70 0.892843 0.0193202 3.36409E-4
2794.70 0.893047 0.0193518 3.34696E-4
2804.70 0.893256 0.0193834 3.32995E-4
2814.70 0.893468 0.0194151 3.31304E-4
2824.70 0.893684 0.0194468 3.29625E-4
2834.70 0.893903 0.0194785 3.27956E-4
2844.70 0.894127 0.0195103 3.26299E-4
2854.70 0.894354 0.0195421 3.24652E-4
2864.70 0.894585 0.0195739 3.23016E-4
2874.70 0.89482 0.0196057 3.21391E-4
2884.70 0.895058 0.0196376 3.19776E-4
2894.70 0.8953 0.0196695 3.18172E-4
2904.70 0.895546 0.0197015 3.16578E-4
2914.70 0.895796 0.0197335 3.14994E-4
2924.70 0.896049 0.0197655 3.13421E-4
2934.70 0.896306 0.0197975 3.11858E-4
2944.70 0.896566 0.0198296 3.10305E-4
2954.70 0.896831 0.0198617 3.08762E-4
2964.70 0.897098 0.0198938 3.07229E-4
2974.70 0.89737 0.0199259 3.05706E-4
2984.70 0.897644 0.0199581 3.04192E-4
2994.70 0.897923 0.0199903 3.02689E-4
3004.70 0.898205 0.0200225 3.01195E-4
3014.70 0.89849 0.0200548 2.99710E-4
3024.70 0.898779 0.0200871 2.98235E-4
3034.70 0.899072 0.0201194 2.96770E-4
3044.70 0.899368 0.0201517 2.95314E-4
3054.70 0.899667 0.020184 2.93867E-4
3064.70 0.89997 0.0202164 2.92429E-4
3074.70 0.900276 0.0202488 2.91001E-4
3084.70 0.900586 0.0202812 2.89582E-4
3094.70 0.900899 0.0203137 2.88172E-4
3104.70 0.901215 0.0203461 2.86770E-4
3114.70 0.901535 0.0203786 2.85378E-4
3124.70 0.901858 0.0204111 2.83994E-4
3134.70 0.902185 0.0204436 2.82620E-4
3144.70 0.902514 0.0204761 2.81253E-4
3154.70 0.902847 0.0205087 2.79896E-4
3164.70 0.903183 0.0205413 2.78547E-4
3174.70 0.903523 0.0205739 2.77207E-4
3184.70 0.903866 0.0206065 2.75875E-4
3194.70 0.904212 0.0206391 2.74552E-4
3204.70 0.904561 0.0206718 2.73237E-4
3214.70 0.904913 0.0207044 2.71930E-4
3224.70 0.905269 0.0207371 2.70631E-4
3234.70 0.905627 0.0207698 2.69341E-4
3244.70 0.905989 0.0208025 2.68058E-4
3254.70 0.906354 0.0208353 2.66784E-4
3264.70 0.906722 0.020868 2.65518E-4
3274.70 0.907093 0.0209008 2.64259E-4
3284.70 0.907468 0.0209335 2.63009E-4
3294.70 0.907845 0.0209663 2.61766E-4
3304.70 0.908225 0.0209991 2.60531E-4
3314.70 0.908608 0.0210319 2.59304E-4
3324.70 0.908995 0.0210647 2.58085E-4
3334.70 0.909384 0.0210976 2.56873E-4
3344.70 0.909776 0.0211304 2.55668E-4
3354.70 0.910172 0.0211633 2.54471E-4
3364.70 0.91057 0.0211962 2.53282E-4
3374.70 0.910971 0.021229 2.52100E-4
3384.70 0.911375 0.0212619 2.50925E-4
3394.70 0.911782 0.0212948 2.49758E-4
3404.70 0.912192 0.0213278 2.48598E-4
3414.70 0.912605 0.0213607 2.47444E-4
3424.70 0.91302 0.0213936 2.46299E-4
3434.70 0.913439 0.0214265 2.45160E-4
3444.70 0.91386 0.0214595 2.44028E-4
3454.70 0.914284 0.0214924 2.42903E-4
3464.70 0.914711 0.0215254 2.41785E-4
3474.70 0.91514 0.0215584 2.40674E-4
3484.70 0.915573 0.0215914 2.39570E-4
3494.70 0.916008 0.0216243 2.38473E-4
3504.70 0.916446 0.0216573 2.37382E-4
3514.70 0.916886 0.0216903 2.36298E-4
3524.70 0.917329 0.0217233 2.35221E-4
3534.70 0.917775 0.0217563 2.34150E-4
3544.70 0.918224 0.0217894 2.33086E-4
3554.70 0.918675 0.0218224 2.32028E-4
3564.70 0.919129 0.0218554 2.30977E-4
3574.70 0.919586 0.0218884 2.29932E-4
3584.70 0.920045 0.0219215 2.28894E-4
3594.70 0.920506 0.0219545 2.27862E-4
3604.70 0.920971 0.0219875 2.26836E-4
3614.70 0.921438 0.0220206 2.25817E-4
3624.70 0.921907 0.0220536 2.24803E-4
3634.70 0.922379 0.0220867 2.23796E-4
3644.70 0.922854 0.0221197 2.22795E-4
3654.70 0.923331 0.0221528 2.21800E-4
3664.70 0.92381 0.0221858 2.20811E-4
3674.70 0.924292 0.0222189 2.19828E-4
3684.70 0.924776 0.0222519 2.18851E-4
3694.70 0.925263 0.022285 2.17880E-4
3704.70 0.925753 0.0223181 2.16914E-4
3714.70 0.926244 0.0223511 2.15955E-4
3724.70 0.926739 0.0223842 2.15001E-4
3734.70 0.927235 0.0224172 2.14053E-4
3744.70 0.927734 0.0224503 2.13111E-4
3754.70 0.928235 0.0224833 2.12174E-4
3764.70 0.928739 0.0225164 2.11243E-4
3774.70 0.929245 0.0225494 2.10318E-4
3784.70 0.929753 0.0225825 2.09398E-4
3794.70 0.930264 0.0226155 2.08484E-4
3804.70 0.930777 0.0226486 2.07575E-4
3814.70 0.931292 0.0226816 2.06672E-4
3824.70 0.93181 0.0227147 2.05773E-4
3834.70 0.93233 0.0227477 2.04881E-4
3844.70 0.932852 0.0227808 2.03993E-4
3854.70 0.933376 0.0228138 2.03111E-4
3864.70 0.933902 0.0228468 2.02234E-4
3874.70 0.934431 0.0228798 2.01363E-4
3884.70 0.934962 0.0229129 2.00496E-4
3894.70 0.935495 0.0229459 1.99635E-4
3904.70 0.93603 0.0229789 1.98779E-4
3914.70 0.936568 0.0230119 1.97927E-4
3924.70 0.937107 0.0230449 1.97081E-4
3934.70 0.937649 0.0230779 1.96240E-4
3944.70 0.938193 0.0231109 1.95404E-4
3954.70 0.938739 0.0231439 1.94573E-4
3964.70 0.939287 0.0231769 1.93746E-4
3974.70 0.939837 0.0232098 1.92925E-4
3984.70 0.940389 0.0232428 1.92108E-4
3994.70 0.940943 0.0232758 1.91296E-4
4004.70 0.9415 0.0233087 1.90489E-4
4014.70 0.942058 0.0233417 1.89687E-4
4024.70 0.942619 0.0233746 1.88889E-4
4034.70 0.943181 0.0234076 1.88096E-4
4044.70 0.943745 0.0234405 1.87307E-4
4054.70 0.944312 0.0234734 1.86524E-4
4064.70 0.94488 0.0235063 1.85744E-4
4074.70 0.94545 0.0235392 1.84970E-4
4084.70 0.946023 0.0235721 1.84200E-4
4094.70 0.946597 0.023605 1.83434E-4
4104.70 0.947173 0.0236379 1.82673E-4
4114.70 0.947751 0.0236707 1.81916E-4
4124.70 0.948331 0.0237036 1.81163E-4
4134.70 0.948913 0.0237365 1.80415E-4
4144.70 0.949497 0.0237693 1.79671E-4
4154.70 0.950082 0.0238021 1.78932E-4
4164.70 0.95067 0.023835 1.78197E-4
4174.70 0.951259 0.0238678 1.77466E-4
4184.70 0.95185 0.0239006 1.76739E-4
4194.70 0.952443 0.0239334 1.76016E-4
4204.70 0.953038 0.0239661 1.75298E-4
4214.70 0.953635 0.0239989 1.74584E-4
4224.70 0.954233 0.0240317 1.73873E-4
4234.70 0.954834 0.0240644 1.73167E-4
4244.70 0.955436 0.0240972 1.72465E-4
4254.70 0.956039 0.0241299 1.71767E-4
4264.70 0.956645 0.0241626 1.71073E-4
4274.70 0.957252 0.0241953 1.70383E-4
4284.70 0.957861 0.024228 1.69697E-4
4294.70 0.958472 0.0242607 1.69014E-4
4304.70 0.959084 0.0242933 1.68336E-4
4314.70 0.959699 0.024326 1.67661E-4
4324.70 0.960314 0.0243586 1.66991E-4
4334.70 0.960932 0.0243913 1.66324E-4
4344.70 0.961551 0.0244239 1.65660E-4
4354.70 0.962172 0.0244565 1.65001E-4
4364.70 0.962795 0.0244891 1.64345E-4
4374.70 0.963419 0.0245217 1.63693E-4
4384.70 0.964045 0.0245542 1.63045E-4
4394.70 0.964672 0.0245868 1.62400E-4
4404.70 0.965301 0.0246193 1.61759E-4
4414.70 0.965932 0.0246518 1.61122E-4
4424.70 0.966564 0.0246844 1.60488E-4
4434.70 0.967198 0.0247169 1.59858E-4
4444.70 0.967834 0.0247493 1.59231E-4
4454.70 0.968471 0.0247818 1.58608E-4
4464.70 0.969109 0.0248143 1.57988E-4
4474.70 0.969749 0.0248467 1.57372E-4
4484.70 0.970391 0.0248791 1.56759E-4
4494.70 0.971034 0.0249115 1.56149E-4
4504.70 0.971679 0.0249439 1.55543E-4
4514.70 0.972325 0.0249763 1.54941E-4
4524.70 0.972973 0.0250087 1.54341E-4
4534.70 0.973622 0.025041 1.53745E-4
4544.70 0.974273 0.0250734 1.53153E-4
4554.70 0.974925 0.0251057 1.52563E-4
4564.70 0.975579 0.025138 1.51977E-4
4574.70 0.976234 0.0251703 1.51394E-4
4584.70 0.97689 0.0252026 1.50814E-4
4594.70 0.977548 0.0252348 1.50238E-4
4604.70 0.978208 0.0252671 1.49665E-4
4614.70 0.978869 0.0252993 1.49094E-4
4624.70 0.979531 0.0253315 1.48527E-4
4634.70 0.980195 0.0253637 1.47963E-4
4644.70 0.98086 0.0253959 1.47402E-4
4654.70 0.981526 0.025428 1.46845E-4
4664.70 0.982194 0.0254602 1.46290E-4
4674.70 0.982863 0.0254923 1.45738E-4
4684.70 0.983534 0.0255244 1.45190E-4
4694.70 0.984206 0.0255565 1.44644E-4
4704.70 0.984879 0.0255886 1.44101E-4
4714.70 0.985554 0.0256206 1.43561E-4
4724.70 0.98623 0.0256527 1.43024E-4
4734.70 0.986907 0.0256847 1.42491E-4
4744.70 0.987586 0.0257167 1.41959E-4
4754.70 0.988266 0.0257487 1.41431E-4
4764.70 0.988947 0.0257806 1.40906E-4
4774.70 0.98963 0.0258126 1.40383E-4
4784.70 0.990314 0.0258445 1.39864E-4
4794.70 0.990999 0.0258764 1.39347E-4
4804.70 0.991685 0.0259083 1.38833E-4
4814.70 0.992373 0.0259402 1.38322E-4
4824.70 0.993062 0.0259721 1.37813E-4
4834.70 0.993752 0.0260039 1.37307E-4
4844.70 0.994444 0.0260358 1.36804E-4
4854.70 0.995136 0.0260676 1.36304E-4
4864.70 0.99583 0.0260994 1.35806E-4
4874.70 0.996525 0.0261311 1.35311E-4
4884.70 0.997222 0.0261629 1.34818E-4
4894.70 0.997919 0.0261946 1.34328E-4
4904.70 0.998617 0.0262263 1.33801E-4
4914.70 0.999317 0.026258 1.33279E-4
4924.70 1.00002 0.0262897 1.32875E-4
4934.70 1.00072 0.0263214 1.32403E-4
4944.70 1.00142 0.026353 1.31934E-4
4954.70 1.00213 0.0263846 1.31467E-4
4964.70 1.00283 0.0264162 1.31002E-4
4974.70 1.00354 0.0264478 1.30502E-4
4984.70 1.00425 0.0264794 1.30035E-4
4994.70 1.00496 0.0265109 1.29571E-4
5004.70 1.00567 0.0265424 1.29109E-4
5014.70 1.00638 0.0265739 1.28649E-4
5024.70 1.00709 0.0266054 1.28192E-4
5034.70 1.00781 0.0266369 1.27737E-4
5044.70 1.00852 0.0266683 1.27285E-4
5054.70 1.00924 0.0266998 1.26834E-4
5064.70 1.00995 0.0267312 1.26387E-4
5074.70 1.01067 0.0267626 1.25941E-4
5084.70 1.01139 0.0267939 1.25498E-4
5094.70 1.01211 0.0268253 1.25057E-4
5104.70 1.01283 0.0268566 1.24619E-4
5114.70 1.01356 0.0268879 1.24183E-4
5124.70 1.01428 0.0269192 1.23749E-4
5134.70 1.01500 0.0269505 1.23317E-4
5144.70 1.01573 0.0269817 1.22888E-4
5154.70 1.01646 0.0270129 1.22461E-4
5164.70 1.01718 0.0270441 1.22036E-4
5174.70 1.01791 0.0270753 1.21613E-4
5184.70 1.01864 0.0271065 1.21192E-4
5194.70 1.01937 0.0271376 1.20774E-4
5204.70 1.02010 0.0271687 1.20357E-4
5214.70 1.02084 0.0271998 1.19943E-4
5224.70 1.02157 0.0272309 1.19531E-4
5234.70 1.02230 0.027262 1.19121E-4
5244.70 1.02304 0.027293 1.18713E-4
5254.70 1.02378 0.0273241 1.18307E-4
5264.70 1.02451 0.0273551 1.17904E-4
5274.70 1.02525 0.027386 1.17502E-4
5284.70 1.02599 0.027417 1.17102E-4
5294.70 1.02673 0.0274479 1.16705E-4
5304.70 1.02747 0.0274788 1.16309E-4
5314.70 1.02821 0.0275097 1.15916E-4
5324.70 1.02896 0.0275406 1.15524E-4
5334.70 1.02970 0.0275715 1.15135E-4
5344.70 1.03045 0.0276023 1.14747E-4
5354.70 1.03119 0.0276331 1.14361E-4
5364.70 1.03194 0.0276639 1.13978E-4
5374.70 1.03269 0.0276947 1.13596E-4
5384.70 1.03344 0.0277254 1.13216E-4
5394.70 1.03419 0.0277561 1.12838E-4
5404.70 1.03494 0.0277868 1.12462E-4
5414.70 1.03569 0.0278175 1.12088E-4
5424.70 1.03644 0.0278482 1.11716E-4
5434.70 1.03719 0.0278788 1.11345E-4
5444.70 1.03795 0.0279094 1.10977E-4
5454.70 1.03870 0.02794 1.10610E-4
5464.70 1.03946 0.0279706 1.10245E-4
5474.70 1.04021 0.0280012 1.09882E-4
5484.70 1.04097 0.0280317 1.09521E-4
5494.70 1.04173 0.0280622 1.09161E-4
5504.70 1.04249 0.0280927 1.08804E-4
5514.70 1.04325 0.0281232 1.08448E-4
5524.70 1.04401 0.0281536 1.08094E-4
5534.70 1.04477 0.028184 1.07741E-4
5544.70 1.04553 0.0282144 1.07391E-4
5554.70 1.04630 0.0282448 1.07042E-4
5564.70 1.04706 0.0282752 1.06695E-4
5574.70 1.04782 0.0283055 1.06349E-4
5584.70 1.04859 0.0283358 1.06005E-4
5594.70 1.04936 0.0283661 1.05663E-4
5604.70 1.05012 0.0283964 1.05323E-4
5614.70 1.05089 0.0284267 1.04984E-4
5624.70 1.05166 0.0284569 1.04647E-4
5634.70 1.05243 0.0284871 1.04311E-4
5644.70 1.05320 0.0285173 1.03977E-4
5654.70 1.05397 0.0285474 1.03645E-4
5664.70 1.05474 0.0285776 1.03315E-4
5674.70 1.05551 0.0286077 1.02986E-4
5684.70 1.05629 0.0286378 1.02658E-4
5694.70 1.05706 0.0286679 1.02333E-4
5704.70 1.05784 0.0286979 1.02008E-4
5714.70 1.05861 0.028728 1.01686E-4
5724.70 1.05939 0.028758 1.01365E-4
5734.70 1.06017 0.028788 1.01045E-4
5744.70 1.06094 0.0288179 1.00727E-4
5754.70 1.06172 0.0288479 1.00411E-4
5764.70 1.06250 0.0288778 1.00096E-4
5774.70 1.06328 0.0289077 9.97822E-5
5784.70 1.06406 0.0289376 9.94703E-5
5794.70 1.06484 0.0289674 9.91599E-5
5804.70 1.06562 0.0289973 9.88509E-5
5814.70 1.06641 0.0290271 9.85435E-5
5824.70 1.06719 0.0290569 9.82375E-5
5834.70 1.06797 0.0290866 9.79329E-5
5844.70 1.06876 0.0291164 9.76298E-5
5854.70 1.06954 0.0291461 9.73282E-5
5864.70 1.07033 0.0291758 9.70280E-5
5874.70 1.07112 0.0292055 9.67292E-5
5884.70 1.07190 0.0292352 9.64318E-5
5894.70 1.07269 0.0292648 9.61359E-5
5904.70 1.07348 0.0292944 9.58413E-5
5914.70 1.07427 0.029324 9.55481E-5
5924.70 1.07506 0.0293536 9.52563E-5
5934.70 1.07585 0.0293831 9.49659E-5
5944.70 1.07664 0.0294126 9.46769E-5
5954.70 1.07743 0.0294421 9.43892E-5
5964.70 1.07823 0.0294716 9.41028E-5
