Simulated gas rate (Surface) (Run 1 - Model output - P01) - 1151 points_Elapsed time Simulated gas rate (Surface) (Run 1 - Model output - P01) - 1151 points_Gas rate	
(hr) (Mscf/D)                                                                                                                                                        	
96816.0 52.2719                                                                                                                                                      	
98352.0 51.7719                                                                                                                                                      	
99888.0 51.2811                                                                                                                                                      	
1.01424E+5 50.7992                                                                                                                                                   	
1.02960E+5 50.3261                                                                                                                                                   	
1.04496E+5 49.8612                                                                                                                                                   	
1.06032E+5 49.4043                                                                                                                                                   	
1.07568E+5 48.9553                                                                                                                                                   	
1.09104E+5 48.5138                                                                                                                                                   	
1.10640E+5 48.0795                                                                                                                                                   	
1.12176E+5 47.6524                                                                                                                                                   	
1.13712E+5 47.2320                                                                                                                                                   	
1.15248E+5 46.8183                                                                                                                                                   	
1.16784E+5 46.4111                                                                                                                                                   	
1.18320E+5 46.0101                                                                                                                                                   	
1.19856E+5 45.6153                                                                                                                                                   	
1.21392E+5 45.2263                                                                                                                                                   	
1.22928E+5 44.8430                                                                                                                                                   	
1.24464E+5 44.4655                                                                                                                                                   	
1.26000E+5 44.0934                                                                                                                                                   	
1.27536E+5 43.7266                                                                                                                                                   	
1.29072E+5 43.3649                                                                                                                                                   	
1.30608E+5 43.0084                                                                                                                                                   	
1.32144E+5 42.6568                                                                                                                                                   	
1.33680E+5 42.3099                                                                                                                                                   	
1.35216E+5 41.9679                                                                                                                                                   	
1.36752E+5 41.6305                                                                                                                                                   	
1.38288E+5 41.2974                                                                                                                                                   	
1.39824E+5 40.9688                                                                                                                                                   	
1.41360E+5 40.6446                                                                                                                                                   	
1.42896E+5 40.3245                                                                                                                                                   	
1.44432E+5 40.0085                                                                                                                                                   	
1.45968E+5 39.6966                                                                                                                                                   	
1.47504E+5 39.3886                                                                                                                                                   	
1.49040E+5 39.0844                                                                                                                                                   	
1.50576E+5 38.7841                                                                                                                                                   	
1.52112E+5 38.4874                                                                                                                                                   	
1.53648E+5 38.1944                                                                                                                                                   	
1.55184E+5 37.9050                                                                                                                                                   	
1.56720E+5 37.6191                                                                                                                                                   	
1.58256E+5 37.3366                                                                                                                                                   	
1.59792E+5 37.0575                                                                                                                                                   	
1.61328E+5 36.7816                                                                                                                                                   	
1.62864E+5 36.5090                                                                                                                                                   	
1.64400E+5 36.2396                                                                                                                                                   	
1.65936E+5 35.9733                                                                                                                                                   	
1.67472E+5 35.7101                                                                                                                                                   	
1.69008E+5 35.4499                                                                                                                                                   	
1.70544E+5 35.1927                                                                                                                                                   	
1.72080E+5 34.9384                                                                                                                                                   	
1.73616E+5 34.6869                                                                                                                                                   	
1.75200E+5 34.4305                                                                                                                                                   	
1.76736E+5 34.1848                                                                                                                                                   	
1.78272E+5 33.9417                                                                                                                                                   	
1.79808E+5 33.7013                                                                                                                                                   	
1.81344E+5 33.4635                                                                                                                                                   	
1.82880E+5 33.2284                                                                                                                                                   	
1.84416E+5 32.9957                                                                                                                                                   	
1.85952E+5 32.7656                                                                                                                                                   	
1.87488E+5 32.5379                                                                                                                                                   	
1.89024E+5 32.3126                                                                                                                                                   	
1.90560E+5 32.0898                                                                                                                                                   	
1.92096E+5 31.8693                                                                                                                                                   	
1.93632E+5 31.6511                                                                                                                                                   	
1.95168E+5 31.4352                                                                                                                                                   	
1.96704E+5 31.2215                                                                                                                                                   	
1.98240E+5 31.0100                                                                                                                                                   	
1.99776E+5 30.8008                                                                                                                                                   	
2.01312E+5 30.5936                                                                                                                                                   	
2.02848E+5 30.3885                                                                                                                                                   	
2.04384E+5 30.1856                                                                                                                                                   	
2.05920E+5 29.9847                                                                                                                                                   	
2.07456E+5 29.7858                                                                                                                                                   	
2.08992E+5 29.5889                                                                                                                                                   	
2.10528E+5 29.3939                                                                                                                                                   	
2.12064E+5 29.2009                                                                                                                                                   	
2.13600E+5 29.0098                                                                                                                                                   	
2.15136E+5 28.8206                                                                                                                                                   	
2.16672E+5 28.6332                                                                                                                                                   	
2.18208E+5 28.4477                                                                                                                                                   	
2.19744E+5 28.2640                                                                                                                                                   	
2.21280E+5 28.0820                                                                                                                                                   	
2.22816E+5 27.9018                                                                                                                                                   	
2.24352E+5 27.7233                                                                                                                                                   	
2.25888E+5 27.5465                                                                                                                                                   	
2.27424E+5 27.3714                                                                                                                                                   	
2.28960E+5 27.1980                                                                                                                                                   	
2.30496E+5 27.0262                                                                                                                                                   	
2.32032E+5 26.8560                                                                                                                                                   	
2.33568E+5 26.6875                                                                                                                                                   	
2.35104E+5 26.5204                                                                                                                                                   	
2.36640E+5 26.3549                                                                                                                                                   	
2.38176E+5 26.1910                                                                                                                                                   	
2.39712E+5 26.0286                                                                                                                                                   	
2.41248E+5 25.8677                                                                                                                                                   	
2.42784E+5 25.7083                                                                                                                                                   	
2.44320E+5 25.5503                                                                                                                                                   	
2.45856E+5 25.3937                                                                                                                                                   	
2.47392E+5 25.2386                                                                                                                                                   	
2.48928E+5 25.0848                                                                                                                                                   	
2.50464E+5 24.9325                                                                                                                                                   	
2.52000E+5 24.7815                                                                                                                                                   	
2.53536E+5 24.6318                                                                                                                                                   	
2.55072E+5 24.4835                                                                                                                                                   	
2.56608E+5 24.3365                                                                                                                                                   	
2.58144E+5 24.1908                                                                                                                                                   	
2.59680E+5 24.0464                                                                                                                                                   	
2.61216E+5 23.9032                                                                                                                                                   	
2.62800E+5 23.7569                                                                                                                                                   	
2.64336E+5 23.6163                                                                                                                                                   	
2.65872E+5 23.4769                                                                                                                                                   	
2.67408E+5 23.3387                                                                                                                                                   	
2.68944E+5 23.2017                                                                                                                                                   	
2.70480E+5 23.0658                                                                                                                                                   	
2.72016E+5 22.9312                                                                                                                                                   	
2.73552E+5 22.7977                                                                                                                                                   	
2.75088E+5 22.6653                                                                                                                                                   	
2.76624E+5 22.5340                                                                                                                                                   	
2.78160E+5 22.4039                                                                                                                                                   	
2.79696E+5 22.2748                                                                                                                                                   	
2.81232E+5 22.1469                                                                                                                                                   	
2.82768E+5 22.0200                                                                                                                                                   	
2.84304E+5 21.8941                                                                                                                                                   	
2.85840E+5 21.7693                                                                                                                                                   	
2.87376E+5 21.6456                                                                                                                                                   	
2.88912E+5 21.5228                                                                                                                                                   	
2.90448E+5 21.4011                                                                                                                                                   	
2.91984E+5 21.2804                                                                                                                                                   	
2.93520E+5 21.1607                                                                                                                                                   	
2.95056E+5 21.0420                                                                                                                                                   	
2.96592E+5 20.9242                                                                                                                                                   	
2.98128E+5 20.8073                                                                                                                                                   	
2.99664E+5 20.6914                                                                                                                                                   	
3.01200E+5 20.5765                                                                                                                                                   	
3.02736E+5 20.4625                                                                                                                                                   	
3.04272E+5 20.3494                                                                                                                                                   	
3.05808E+5 20.2372                                                                                                                                                   	
3.07344E+5 20.1259                                                                                                                                                   	
3.08880E+5 20.0155                                                                                                                                                   	
3.10416E+5 19.9059                                                                                                                                                   	
3.11952E+5 19.7972                                                                                                                                                   	
3.13488E+5 19.6894                                                                                                                                                   	
3.15024E+5 19.5825                                                                                                                                                   	
3.16560E+5 19.4763                                                                                                                                                   	
3.18096E+5 19.3710                                                                                                                                                   	
3.19632E+5 19.2665                                                                                                                                                   	
3.21168E+5 19.1629                                                                                                                                                   	
3.22704E+5 19.0600                                                                                                                                                   	
3.24240E+5 18.9579                                                                                                                                                   	
3.25776E+5 18.8566                                                                                                                                                   	
3.27312E+5 18.7561                                                                                                                                                   	
3.28848E+5 18.6564                                                                                                                                                   	
3.30384E+5 18.5575                                                                                                                                                   	
3.31920E+5 18.4593                                                                                                                                                   	
3.33456E+5 18.3618                                                                                                                                                   	
3.34992E+5 18.2650                                                                                                                                                   	
3.36528E+5 18.1690                                                                                                                                                   	
3.38064E+5 18.0738                                                                                                                                                   	
3.39600E+5 17.9792                                                                                                                                                   	
3.41136E+5 17.8854                                                                                                                                                   	
3.42672E+5 17.7922                                                                                                                                                   	
3.44208E+5 17.6998                                                                                                                                                   	
3.45744E+5 17.6080                                                                                                                                                   	
3.47280E+5 17.5169                                                                                                                                                   	
3.48816E+5 17.4265                                                                                                                                                   	
3.50400E+5 17.3340                                                                                                                                                   	
3.51936E+5 17.2450                                                                                                                                                   	
3.53472E+5 17.1566                                                                                                                                                   	
3.55008E+5 17.0688                                                                                                                                                   	
3.56544E+5 16.9817                                                                                                                                                   	
3.58080E+5 16.8952                                                                                                                                                   	
3.59616E+5 16.8094                                                                                                                                                   	
3.61152E+5 16.7242                                                                                                                                                   	
3.62688E+5 16.6395                                                                                                                                                   	
3.64224E+5 16.5555                                                                                                                                                   	
3.65760E+5 16.4722                                                                                                                                                   	
3.67296E+5 16.3894                                                                                                                                                   	
3.68832E+5 16.3072                                                                                                                                                   	
3.70368E+5 16.2256                                                                                                                                                   	
3.71904E+5 16.1446                                                                                                                                                   	
3.73440E+5 16.0641                                                                                                                                                   	
3.74976E+5 15.9842                                                                                                                                                   	
3.76512E+5 15.9049                                                                                                                                                   	
3.78048E+5 15.8262                                                                                                                                                   	
3.79584E+5 15.7480                                                                                                                                                   	
3.81120E+5 15.6703                                                                                                                                                   	
3.82656E+5 15.5932                                                                                                                                                   	
3.84192E+5 15.5167                                                                                                                                                   	
3.85728E+5 15.4406                                                                                                                                                   	
3.87264E+5 15.3652                                                                                                                                                   	
3.88800E+5 15.2902                                                                                                                                                   	
3.90336E+5 15.2158                                                                                                                                                   	
3.91872E+5 15.1418                                                                                                                                                   	
3.93408E+5 15.0684                                                                                                                                                   	
