Simulated gas rate (Bottomhole) (Run 1 - Model output - P01) - 1151 points_Elapsed time Simulated gas rate (Bottomhole) (Run 1 - Model output - P01) - 1151 points_Gas rate downhole	
(hr) (Mcf/D)                                                                                                                                                                        	
1.07568E+5 3.02209                                                                                                                                                                  	
1.09104E+5 2.99484                                                                                                                                                                  	
1.10640E+5 2.96803                                                                                                                                                                  	
1.12176E+5 2.94166                                                                                                                                                                  	
1.13712E+5 2.91571                                                                                                                                                                  	
1.15248E+5 2.89017                                                                                                                                                                  	
1.16784E+5 2.86503                                                                                                                                                                  	
1.18320E+5 2.84028                                                                                                                                                                  	
1.19856E+5 2.81590                                                                                                                                                                  	
1.21392E+5 2.79189                                                                                                                                                                  	
1.22928E+5 2.76823                                                                                                                                                                  	
1.24464E+5 2.74493                                                                                                                                                                  	
1.26000E+5 2.72196                                                                                                                                                                  	
1.27536E+5 2.69931                                                                                                                                                                  	
1.29072E+5 2.67699                                                                                                                                                                  	
1.30608E+5 2.65498                                                                                                                                                                  	
1.32144E+5 2.63328                                                                                                                                                                  	
1.33680E+5 2.61186                                                                                                                                                                  	
1.35216E+5 2.59075                                                                                                                                                                  	
1.36752E+5 2.56992                                                                                                                                                                  	
1.38288E+5 2.54936                                                                                                                                                                  	
1.39824E+5 2.52907                                                                                                                                                                  	
1.41360E+5 2.50906                                                                                                                                                                  	
1.42896E+5 2.48929                                                                                                                                                                  	
1.44432E+5 2.46979                                                                                                                                                                  	
1.45968E+5 2.45053                                                                                                                                                                  	
1.47504E+5 2.43152                                                                                                                                                                  	
1.49040E+5 2.41274                                                                                                                                                                  	
1.50576E+5 2.39421                                                                                                                                                                  	
1.52112E+5 2.37589                                                                                                                                                                  	
1.53648E+5 2.35780                                                                                                                                                                  	
1.55184E+5 2.33994                                                                                                                                                                  	
1.56720E+5 2.32229                                                                                                                                                                  	
1.58256E+5 2.30485                                                                                                                                                                  	
1.59792E+5 2.28762                                                                                                                                                                  	
1.61328E+5 2.27058                                                                                                                                                                  	
1.62864E+5 2.25376                                                                                                                                                                  	
1.64400E+5 2.23713                                                                                                                                                                  	
1.65936E+5 2.22069                                                                                                                                                                  	
1.67472E+5 2.20444                                                                                                                                                                  	
1.69008E+5 2.18838                                                                                                                                                                  	
1.70544E+5 2.17250                                                                                                                                                                  	
1.72080E+5 2.15680                                                                                                                                                                  	
1.73616E+5 2.14128                                                                                                                                                                  	
1.75200E+5 2.12545                                                                                                                                                                  	
1.76736E+5 2.11028                                                                                                                                                                  	
1.78272E+5 2.09528                                                                                                                                                                  	
1.79808E+5 2.08043                                                                                                                                                                  	
1.81344E+5 2.06576                                                                                                                                                                  	
1.82880E+5 2.05124                                                                                                                                                                  	
1.84416E+5 2.03688                                                                                                                                                                  	
1.85952E+5 2.02267                                                                                                                                                                  	
1.87488E+5 2.00862                                                                                                                                                                  	
1.89024E+5 1.99471                                                                                                                                                                  	
1.90560E+5 1.98095                                                                                                                                                                  	
1.92096E+5 1.96734                                                                                                                                                                  	
1.93632E+5 1.95388                                                                                                                                                                  	
1.95168E+5 1.94054                                                                                                                                                                  	
1.96704E+5 1.92735                                                                                                                                                                  	
1.98240E+5 1.91430                                                                                                                                                                  	
1.99776E+5 1.90138                                                                                                                                                                  	
2.01312E+5 1.88859                                                                                                                                                                  	
2.02848E+5 1.87593                                                                                                                                                                  	
2.04384E+5 1.86340                                                                                                                                                                  	
2.05920E+5 1.85100                                                                                                                                                                  	
2.07456E+5 1.83872                                                                                                                                                                  	
2.08992E+5 1.82657                                                                                                                                                                  	
2.10528E+5 1.81454                                                                                                                                                                  	
2.12064E+5 1.80262                                                                                                                                                                  	
2.13600E+5 1.79082                                                                                                                                                                  	
2.15136E+5 1.77914                                                                                                                                                                  	
2.16672E+5 1.76758                                                                                                                                                                  	
2.18208E+5 1.75612                                                                                                                                                                  	
2.19744E+5 1.74478                                                                                                                                                                  	
2.21280E+5 1.73355                                                                                                                                                                  	
2.22816E+5 1.72242                                                                                                                                                                  	
2.24352E+5 1.71140                                                                                                                                                                  	
2.25888E+5 1.70049                                                                                                                                                                  	
2.27424E+5 1.68968                                                                                                                                                                  	
2.28960E+5 1.67898                                                                                                                                                                  	
2.30496E+5 1.66837                                                                                                                                                                  	
2.32032E+5 1.65787                                                                                                                                                                  	
2.33568E+5 1.64746                                                                                                                                                                  	
2.35104E+5 1.63715                                                                                                                                                                  	
2.36640E+5 1.62693                                                                                                                                                                  	
2.38176E+5 1.61681                                                                                                                                                                  	
2.39712E+5 1.60679                                                                                                                                                                  	
2.41248E+5 1.59686                                                                                                                                                                  	
2.42784E+5 1.58701                                                                                                                                                                  	
2.44320E+5 1.57726                                                                                                                                                                  	
2.45856E+5 1.56759                                                                                                                                                                  	
2.47392E+5 1.55802                                                                                                                                                                  	
2.48928E+5 1.54853                                                                                                                                                                  	
2.50464E+5 1.53912                                                                                                                                                                  	
2.52000E+5 1.52980                                                                                                                                                                  	
2.53536E+5 1.52056                                                                                                                                                                  	
2.55072E+5 1.51141                                                                                                                                                                  	
2.56608E+5 1.50233                                                                                                                                                                  	
2.58144E+5 1.49334                                                                                                                                                                  	
2.59680E+5 1.48442                                                                                                                                                                  	
2.61216E+5 1.47559                                                                                                                                                                  	
2.62800E+5 1.46655                                                                                                                                                                  	
2.64336E+5 1.45787                                                                                                                                                                  	
2.65872E+5 1.44927                                                                                                                                                                  	
2.67408E+5 1.44074                                                                                                                                                                  	
2.68944E+5 1.43228                                                                                                                                                                  	
2.70480E+5 1.42389                                                                                                                                                                  	
2.72016E+5 1.41558                                                                                                                                                                  	
2.73552E+5 1.40734                                                                                                                                                                  	
2.75088E+5 1.39916                                                                                                                                                                  	
2.76624E+5 1.39106                                                                                                                                                                  	
2.78160E+5 1.38303                                                                                                                                                                  	
2.79696E+5 1.37506                                                                                                                                                                  	
2.81232E+5 1.36716                                                                                                                                                                  	
2.82768E+5 1.35933                                                                                                                                                                  	
2.84304E+5 1.35156                                                                                                                                                                  	
2.85840E+5 1.34386                                                                                                                                                                  	
2.87376E+5 1.33622                                                                                                                                                                  	
2.88912E+5 1.32864                                                                                                                                                                  	
2.90448E+5 1.32113                                                                                                                                                                  	
2.91984E+5 1.31368                                                                                                                                                                  	
2.93520E+5 1.30628                                                                                                                                                                  	
2.95056E+5 1.29895                                                                                                                                                                  	
2.96592E+5 1.29168                                                                                                                                                                  	
2.98128E+5 1.28447                                                                                                                                                                  	
2.99664E+5 1.27732                                                                                                                                                                  	
3.01200E+5 1.27022                                                                                                                                                                  	
3.02736E+5 1.26318                                                                                                                                                                  	
3.04272E+5 1.25620                                                                                                                                                                  	
3.05808E+5 1.24927                                                                                                                                                                  	
3.07344E+5 1.24240                                                                                                                                                                  	
3.08880E+5 1.23559                                                                                                                                                                  	
3.10416E+5 1.22882                                                                                                                                                                  	
3.11952E+5 1.22212                                                                                                                                                                  	
3.13488E+5 1.21546                                                                                                                                                                  	
3.15024E+5 1.20886                                                                                                                                                                  	
3.16560E+5 1.20230                                                                                                                                                                  	
3.18096E+5 1.19580                                                                                                                                                                  	
3.19632E+5 1.18936                                                                                                                                                                  	
3.21168E+5 1.18296                                                                                                                                                                  	
3.22704E+5 1.17661                                                                                                                                                                  	
3.24240E+5 1.17030                                                                                                                                                                  	
3.25776E+5 1.16405                                                                                                                                                                  	
3.27312E+5 1.15785                                                                                                                                                                  	
3.28848E+5 1.15169                                                                                                                                                                  	
3.30384E+5 1.14558                                                                                                                                                                  	
3.31920E+5 1.13952                                                                                                                                                                  	
3.33456E+5 1.13350                                                                                                                                                                  	
3.34992E+5 1.12753                                                                                                                                                                  	
3.36528E+5 1.12160                                                                                                                                                                  	
3.38064E+5 1.11572                                                                                                                                                                  	
3.39600E+5 1.10988                                                                                                                                                                  	
3.41136E+5 1.10409                                                                                                                                                                  	
3.42672E+5 1.09834                                                                                                                                                                  	
3.44208E+5 1.09264                                                                                                                                                                  	
3.45744E+5 1.08697                                                                                                                                                                  	
3.47280E+5 1.08135                                                                                                                                                                  	
3.48816E+5 1.07577                                                                                                                                                                  	
3.50400E+5 1.07006                                                                                                                                                                  	
3.51936E+5 1.06456                                                                                                                                                                  	
3.53472E+5 1.05910                                                                                                                                                                  	
3.55008E+5 1.05369                                                                                                                                                                  	
3.56544E+5 1.04831                                                                                                                                                                  	
3.58080E+5 1.04297                                                                                                                                                                  	
3.59616E+5 1.03767                                                                                                                                                                  	
